Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
407,DT,Jacobian Guillory II,LSU,64.5,,,,
408,EDGE,Roy Williams,Northern Illinois,65.0,,,,
409,WR,Jordan Mosley,Colorado State,49.9,,,,
410,CB,Toriano Pride Jr.,Missouri,74.4,,,,
411,RB,Jaquez Moore,Duke,71.6,,,,
412,EDGE,Miles Capers,Vanderbilt,68.0,,,,
413,WR,Max Tomczak,Youngstown State,85.0,,,,
414,TE,Chamon Metayer,Arizona State,56.3,,,,
415,EDGE,Nyjalik Kelly,UCF,75.9,,,,
416,QB,Tyler Van Dyke,SMU,,,,,
417,RB,Cash Jones,Georgia,66.4,,,,
418,TE,Matt Lauter,Boise State,49.6,,,,
419,EDGE,Corey Walker,Wisconsin,69.4,,,,
420,LB,Jack Kelly,BYU,68.7,,,,
421,OT,Ryan Mosesso,Massachusetts,54.2,,,,
422,QB,Kaidon Salter,Colorado,64.4,,,,
423,LB,Jordan Pollard,San Jose State,61.0,,,,
424,OT,Alan Herron,Maryland,71.2,,,,
425,WR,Romello Brinson,SMU,59.0,,,,
426,TE,Caleb Fauria,Delaware,,,,,
427,IOL,Logan Taylor,Boston College,70.0,,,,
428,LB,Desmond Purnell,Kansas State,66.1,,,,
429,LB,Justin Jefferson,Alabama,67.7,,,,
430,CB,Ricardo Hallman,Wisconsin,71.0,,,,
431,EDGE,Kam Olds,Kentucky,71.1,,,,
432,IOL,James Brockermeyer,Miami (FL),72.5,,,,
433,LB,Triston Newson,Missouri,63.2,,,,
434,QB,Zach Calzada,Kentucky,46.5,,,,
435,WR,Ja'Mori Maclin,Kentucky,61.1,,,,
436,OT,Alex Harkey,Oregon,65.0,,,,
437,IOL,Ka'ena Decambra,Arizona,67.9,,,,
438,WR,DT Sheffield,Rutgers,61.8,,,,
439,LB,Namdi Obiazor,TCU,71.5,,,,
440,K,Trey Smack,Florida,,,,,
441,K,Will Ferrin,BYU,,,,,
442,K,Drew Stevens,Iowa,,,,,
443,K,Dominic Zvada,Michigan,,,,,
444,P,Brett Thorson,Georgia,,,,,
445,P,Ryan Eckley,Michigan State,,,,,
446,P,Jack Stonehouse,Syracuse,,,,,
447,P,Tommy Doman,Florida,,,,,
