player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Alexander Kilgore,169965,LB,SMU,10,17,17.0,8.5,287,0,56.3,1,2,0,4,1,0.24
Isaiah Green,176828,S,PORTLAND,11,34,17.0,17.0,269,0,106.3,2,2,0,19,18,0.56
Jackson Bratton,123909,LB,N ALABAMA,6,34,17.0,6.8,389,1,15.8,2,5,0,24,26,0.71
Logan Taylor,87618,LB,HAWAII,6,17,17.0,17.0,180,0,118.8,1,1,0,18,10,1.06
Jordan Crook,157032,LB,ARIZONA ST,7,17,17.0,8.5,110,1,27.1,1,2,0,11,12,0.65
Louis Frye,145850,S,TEMPLE,6,17,17.0,17.0,306,0,79.2,1,1,0,0,4,0.0
Devynn Cromwell,184896,S,TEXAS TECH,4,17,17.0,3.4,315,0,39.6,1,5,0,2,4,0.12
Lynard Harris,181157,LB,LA MONROE,5,17,17.0,17.0,209,0,131.3,1,1,1,6,0,0.35
Dante Kelly,172619,CB,SO MISS,4,17,17.0,17.0,296,0,79.2,1,1,0,2,5,0.12
P.J. Hall,122748,S,MO STATE,9,34,17.0,6.8,230,0,47.9,2,5,0,1,5,0.03
Kaleal Davis,148085,S,INDIANA ST,7,17,17.0,5.7,191,0,42.4,1,3,0,4,0,0.24
Alex Howard,62494,LB,DUKE,13,34,17.0,11.3,154,0,104.9,2,3,0,34,6,1.0
James Summersett,195320,S,CLARK ATL,1,17,17.0,17.0,369,0,100.0,1,1,0,8,11,0.47
Marcus Alexander,148919,LB,HARVARD,10,17,17.0,17.0,179,0,91.7,1,1,0,6,8,0.35
Quadric Bullard,123735,S,UCF,12,51,17.0,7.3,323,0,92.9,3,7,1,26,12,0.51
Lakeem Rudolph,123362,LB,CAMPBELL,12,101,16.8,8.4,131,2,16.7,6,12,0,23,32,0.23
Tayden Gray,176765,CB,MONTANA ST,15,134,16.8,9.6,233,0,70.5,8,14,0,70,42,0.52
Curtis Harris-Lopez,149421,S,HOLY CROSS,12,67,16.8,6.1,181,1,41.1,4,11,1,43,13,0.64
