player_name,school,position,season,years_played,years_played_seasons,years_played_source,qb_qbr,qb_epa_per_play,qb_success_rate,qb_pressure_to_sack_rate,qb_under_pressure_epa,qb_under_pressure_success_rate,yprr,target_share,targets_per_route_run,explosive_run_rate,missed_tackles_forced_per_touch,pressure_rate,pressures_per_pass_rush_snap,sacks_per_pass_rush_snap,coverage_plays_per_target,yards_allowed_per_coverage_snap,opp_def_ppa_allowed_avg,opp_def_success_rate_allowed_avg,opp_def_toughness_index,opp_def_adjustment_multiplier,opp_def_context_source,cfb_prod_quality_label,cfb_prod_reliability,cfb_prod_real_features,cfb_prod_proxy_features,cfb_prod_provenance,source
Zion Young,Missouri,EDGE,2025,1,2025,cfbd_player_season_stats,,,,,,,,,,,,0.2487,0.2487,0.075,,,0.1499,0.4069,0.5177,1.0035,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.53,0,3,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Athan Kaliakmanis,Rutgers,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,69.18,0.274,0.6223,0.1456,0.265,0.43,,,,,,,,,,,0.1098,0.4089,0.7026,1.0405,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Behren Morton,Texas Tech,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,75.33,0.338,0.6577,0.1186,0.516,0.43,,,,,,,,,,,0.1395,0.4062,0.6044,1.0209,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Cade Klubnik,Clemson,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,58.89,0.234,0.6556,0.1594,0.134,0.4068,,,,,,,,,,,0.1439,0.412,0.5046,1.0009,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Carson Beck,Miami,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,77.69,0.374,0.7222,0.1358,0.425,0.43,,,,,,,,,,,0.1351,0.4012,0.6677,1.0335,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Cole Payton,North Dakota State,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,92.0,0.569,0.72,0.1192,0.838,0.43,,,,,,,,,,,,,,,,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Conner Weigman,Houston,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,71.67,0.327,0.6517,0.139,0.373,0.43,,,,,,,,,,,0.1425,0.4029,0.6133,1.0227,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Dante Moore,Oregon,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,85.31,0.414,0.7184,0.1296,0.551,0.43,,,,,,,,,,,0.1503,0.4188,0.393,0.9786,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Derek Robertson,Monmouth,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,92.0,0.474,0.7132,0.1446,0.514,0.43,,,,,,,,,,,0.2261,0.5224,0.0312,0.9062,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Diego Pavia,Vanderbilt,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,92.0,0.517,0.7063,0.113,0.802,0.43,,,,,,,,,,,0.1341,0.41,0.5924,1.0185,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
Drew Allar,Penn State,QB,2025,1,2025,cfbd_player_ppa|cfbd_player_season_stats,56.9,0.189,0.6478,0.1211,0.48,0.43,,,,,,,,,,,0.142,0.4173,0.4668,0.9934,cfbd_team_advanced_stats+advanced_game_stats,proxy,0.6,0,6,cfbd_stats+cfbd_ppa_proxy,CFBD_2025_proxy_extract
