player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Cody Moon,128273,LB,S DIEGO ST,11,10,3.5,0,0,284,37.9,49.1,83.1,57.2,62.1,54.0,15.6,5,0,131,132,7.6,10,17
Bryce Santana,128279,DI,NEW MEXICO,10,8,3.2,0,0,241,70.6,65.0,43.8,61.0,66.1,65.4,10.3,3,2,226,232,5.3,12,18
Dallas Branch,128292,CB,KENT STATE,9,7,14.0,0,0,201,72.7,73.9,85.1,60.0,73.3,81.4,10.5,2,0,281,286,1.4,4,10
Hunter Kaupiko,128305,LB,NEVADA,1,0,3.0,0,0,239,,52.1,68.6,59.4,55.6,73.1,0.0,0,0,3,3,0.0,0,1
Dezjhon Malone,128307,CB,OKLAHOMA,11,3,17.3,1,0,261,72.9,72.7,82.9,52.2,69.3,81.4,12.5,1,2,166,169,0.6,1,4
Isaiah Mcelvane,128309,S,LA TECH,13,11,7.4,0,0,208,56.5,60.9,85.1,57.8,67.3,70.1,17.6,6,0,222,226,4.1,9,17
Mekhi Shaw,128315,WR,S DIEGO ST,2,0,,0,0,284,60.0,64.8,60.0,,60.0,,,0,1,2,2,0.0,0,0
Jelani Whitmore,128317,CB,S DIEGO ST,11,0,38.5,0,0,284,75.0,69.2,80.8,,39.6,46.7,60.0,3,0,93,96,0.0,0,2
Zavion Reese,128335,S,S JOSE ST,2,0,,0,0,285,40.5,43.4,78.1,,60.0,,,0,1,6,6,0.0,0,0
Soane Toia,128338,DI,S JOSE ST,13,11,1.7,0,0,285,62.4,81.3,59.9,70.5,83.8,59.1,10.3,6,2,371,379,9.4,35,41
Jalen Dixon,128351,ED,UNLV,7,2,2.5,0,0,325,61.2,54.1,84.0,62.3,41.5,49.0,25.0,2,0,83,89,4.8,4,4
Ricky Johnson,128360,CB,MICHIGAN,1,0,,0,0,222,45.7,45.6,72.0,,60.0,19.7,,0,0,3,3,0.0,0,0
