model_rank,player_name,position,school,final_grade,round_value,consensus_rank,formula_score,pick_score,best_team_fit
214,David Oke,DT,Arkansas Razorbacks,78.68,Round 4-5,76,79.58,,HOU
215,Drew Shelton,OT,Penn State Nittany Lions,77.22,Round 4-5,131,79.5,,LAR
216,Red Murdock,LB,Buffalo,73.8,Round 5-6,248,74.3,,LAR
217,J'Mari Taylor,RB,Virginia Cavaliers,66.96,UDFA,383,71.39,,DAL
218,Connor Tollison,IOL,Missouri,63.74,UDFA,440,76.05,,DET
219,Brady Latham,IOL,Arkansas,79.04,Round 4-5,68,80.0,,DET
220,Aaron Anderson,WR,LSU Tigers,66.87,UDFA,388,71.79,,CLE
221,Joe Crocker Jr.,IOL,Auburn,76.97,Round 4-5,149,77.93,,DET
222,Pat Coogan,IOL,Indiana Hoosiers,74.52,Round 5-6,226,77.1,,DET
223,Carter Smith,IOL,Indiana,73.29,Round 5-6,260,74.73,,DET
224,Nolan Rucci,OT,Penn State,67.53,UDFA,374,78.19,,LAR
225,Ted Hurst,WR,Georgia State Panthers,76.72,Round 4-5,157,77.83,,CLE
226,Jahiem Lawson,EDGE,Clemson,71.97,Round 6-7,289,73.48,,ATL
227,Anez Cooper,IOL,Miami,71.15,Round 6-7,308,73.04,,DET
228,Miles Kitselman,TE,Tennessee Volunteers,62.18,UDFA,449,72.97,,LAC
229,AJ Harris,CB,Penn State,73.75,Round 5-6,251,74.59,,JAX
230,Kobe Baynes,IOL,Kansas Jayhawks,67.61,UDFA,371,78.09,,DET
231,Malachi Lawrence,EDGE,UCF Knights,77.59,Round 4-5,115,79.09,,ATL
232,Clev Lubin,EDGE,Louisville,74.46,Round 5-6,229,75.35,,ATL
233,Nadame Tucker,EDGE,Western Michigan Broncos,69.04,Round 6-7,356,74.3,,ATL
234,David Bailey,EDGE,Texas Tech,82.19,Round 2-3,18,83.51,,ATL
235,Gabriel Brownlow-Dindy,DT,South Carolina,78.28,Round 4-5,88,77.89,,HOU
236,Kyle Louis,LB,Pittsburgh Panthers,74.5,Round 5-6,227,75.81,,LAR
237,Dae'Quan Wright,TE,Mississippi Rebels,72.73,Round 5-6,271,77.58,,LAC
238,Quintayvious Hutchins,EDGE,Boston College Eagles,70.44,Round 6-7,323,76.85,,ATL
239,Cyrus Allen,WR,Cincinnati Bearcats,69.48,Round 6-7,344,77.98,,CLE
240,Tyre West,DT,Indiana,75.66,Round 5-6,199,75.9,,HOU
241,Chase Roberts,WR,BYU Cougars,70.1,Round 6-7,332,75.78,,CLE
242,Bishop Fitzgerald,S,USC Trojans,69.41,Round 6-7,349,72.86,,MIA
243,Cole Brevard,DT,Texas Longhorns,69.23,Round 6-7,352,77.93,,HOU
244,John Michael Gyllenborg,TE,Wyoming Cowboys,74.09,Round 5-6,241,78.97,,LAC
245,CJ Mims,EDGE,West Virginia,77.5,Round 4-5,118,77.89,,ATL
246,Darris Smith,EDGE,LSU,77.24,Round 4-5,129,77.63,,ATL
247,George Gumbs Jr.,EDGE,Florida Gators,67.9,UDFA,367,77.79,,ATL
248,DeMonte Capehart,DT,Clemson Tigers,76.37,Round 4-5,170,80.01,,HOU
249,Derrick Moore,EDGE,Michigan,79.0,Round 4-5,70,80.34,,ATL
250,Zavion Thomas,WR,LSU Tigers,69.56,Round 6-7,342,77.22,,CLE
251,Logan Jones,IOL,Iowa Hawkeyes,72.38,Round 5-6,276,76.28,,DET
252,Jalon Daniels,QB,Kansas Jayhawks,71.01,Round 6-7,310,78.38,,LV
253,Domata Peko Jr.,DT,UCLA,78.03,Round 4-5,102,77.64,,HOU
254,Devon Marshall,CB,North Carolina State Wolfpack,70.94,Round 6-7,311,76.83,,JAX
255,Jeremiah Alexander,EDGE,Alabama,76.99,Round 4-5,148,77.38,,ATL
256,Desmond Reid,RB,Pittsburgh Panthers,66.94,UDFA,385,75.93,,DAL
257,Jeff Caldwell,WR,Cincinnati Bearcats,73.84,Round 5-6,247,80.23,,CLE
258,Max Llewellyn,EDGE,Iowa Hawkeyes,71.3,Round 6-7,300,76.46,,ATL
259,Emmanuel Henderson Jr.,WR,Kansas,69.57,Round 6-7,341,70.74,,CLE
260,Isaiah Nwokobia,S,SMU Mustangs,67.12,UDFA,382,76.52,,MIA
261,Nate Boerkircher,TE,Texas A&M Aggies,70.9,Round 6-7,312,75.36,,LAC
262,Brenen Thompson,WR,Mississippi State Bulldogs,72.79,Round 5-6,269,76.2,,CLE
263,Justin Jefferson,LB,Alabama,72.36,Round 5-6,277,72.8,,LAR
264,Tre Williams,DT,Clemson,77.65,Round 4-5,114,77.26,,HOU
265,Zxavian Harris,DT,Mississippi Rebels,74.79,Round 5-6,220,79.05,,HOU
266,Robert Spears-Jennings,S,Oklahoma Sooners,71.46,Round 6-7,297,76.3,,MIA
267,Jadon Canady,CB,Oregon Ducks,75.64,Round 5-6,200,79.51,,JAX
268,Kevin Coleman Jr.,WR,Missouri Tigers,69.07,Round 6-7,355,74.12,,CLE
269,Jalyn Phillips,S,Georgia,75.94,Round 5-6,189,75.69,,MIA
270,Dillon Thieneman,S,Oregon,84.65,Round 1,5,84.54,,MIA
271,Jermaine Mathews Jr.,CB,Ohio State Buckeyes,74.99,Round 5-6,214,77.39,,JAX
272,Dallen Bentley,TE,Utah Utes,72.77,Round 5-6,270,77.55,,LAC
273,Isaac Smith,S,Mississippi State,77.03,Round 4-5,144,76.78,,MIA
274,Dakaari Nelson,S,Penn State,77.37,Round 4-5,122,77.12,,MIA
275,Robert Henry Jr.,RB,UTSA Roadrunners,70.78,Round 6-7,315,76.03,,DAL
276,Keon Sabb,S,Alabama,77.05,Round 4-5,143,76.8,,MIA
277,Caleb Douglas,WR,Texas Tech Red Raiders,68.33,Round 6-7,363,75.39,,CLE
278,TJ Guy,EDGE,Michigan Wolverines,71.29,Round 6-7,302,77.73,,ATL
279,Branson Combs,S,Wake Forest,77.17,Round 4-5,137,76.92,,MIA
280,Keon Wylie,S,Texas Tech,77.22,Round 4-5,132,76.97,,MIA
281,Noah Thomas,WR,Georgia Bulldogs,65.46,UDFA,411,76.06,,CLE
282,Cole Wisniewski,S,Texas Tech Red Raiders,73.56,Round 5-6,256,78.75,,MIA
283,J. Michael Sturdivant,WR,Florida Gators,74.72,Round 5-6,224,78.22,,CLE
284,Owen Heinecke,LB,Oklahoma Sooners,66.03,UDFA,396,75.21,,LAR
